"Games_Played","Games_Started","Goals","Assists","SHOTS","SHOTS_ON_TARGET","Game_Winning_Goals","HmG","RdG","G_90min","Games_Winning_Assists","OFF","Shots_on_Goals_Percent","Target"
0.0909090909090909,0.117647058823529,0,0,0,0.0131578947368421,0,0,0,0,0,0,1,0
0.333333333333333,0.352941176470588,0,0,0.00555555555555556,0.0263157894736842,0,0,0,0,0,0.0121951219512195,1,0
0.454545454545455,0.470588235294118,0.0294117647058824,0,0.0277777777777778,0.0263157894736842,0,0.0454545454545455,0,0.00155555555555556,0,0,0.3333,1
0.424242424242424,0.352941176470588,0.0882352941176471,0,0.0888888888888889,0.144736842105263,0,0.0454545454545455,0.125,0.00533333333333333,0,0,0.6471,1
0.727272727272727,0.735294117647059,0,0.0769230769230769,0.0388888888888889,0.0394736842105263,0,0,0,0,0.25,0,0.375,1
0.333333333333333,0.176470588235294,0,0,0.0222222222222222,0.0131578947368421,0,0,0,0,0,0.0487804878048781,0.2,0
0.666666666666667,0.647058823529412,0.0882352941176471,0.0384615384615385,0.183333333333333,0.184210526315789,0.0909090909090909,0.0454545454545455,0.125,0.00333333333333333,0.125,0.170731707317073,0.4118,1
0.878787878787879,0.882352941176471,0.0882352941176471,0,0.127777777777778,0.144736842105263,0.0909090909090909,0.0454545454545455,0.125,0.00244444444444444,0,0.0853658536585366,0.4583,1
0.454545454545455,0.470588235294118,0.0294117647058824,0.0769230769230769,0.0444444444444444,0.0921052631578947,0,0,0.0625,0.00133333333333333,0,0.0365853658536585,0.7778,1
0.272727272727273,0.264705882352941,0,0,0.0111111111111111,0.0263157894736842,0,0,0,0,0,0,0.6667,0
0.212121212121212,0.0588235294117647,0,0.0384615384615385,0.0111111111111111,0,0,0,0,0,0,0,0,0
0.333333333333333,0.117647058823529,0.0294117647058824,0.0384615384615385,0.0555555555555556,0.0263157894736842,0,0.0454545454545455,0,0.00333333333333333,0,0.0121951219512195,0.1818,0
0,0.0294117647058824,0,0,0.0222222222222222,0.0263157894736842,0,0,0,0,0,0.0121951219512195,0.4,0
0.515151515151515,0.323529411764706,0.0588235294117647,0.192307692307692,0.188888888888889,0.184210526315789,0.0909090909090909,0.0909090909090909,0,0.00355555555555556,0.25,0.0975609756097561,0.4,1
