"Games_Played","Games_Started","Goals","Assists","SHOTS","SHOTS_ON_TARGET","Game_Winning_Goals","HmG","RdG","G_90min","Games_Winning_Assists","OFF","Shots_on_Goals_Percent","Target"
11,6,0,0,2,1,0,0,0,0,0,0,50,"0"
2,1,0,0,1,1,0,0,0,0,0,0,100,"0"
24,23,4,0,11,9,1,2,2,0.16,0,0,81.82,"1"
1,1,0,0,2,0,0,0,0,0,0,0,0,"0"
3,3,0,0,4,1,0,0,0,0,0,0,25,"0"
17,10,1,2,14,6,0,0,1,0.12,0,1,42.86,"0"
23,21,9,9,66,35,2,6,3,0.42,2,28,53.03,"1"
1,0,0,0,1,0,0,0,0,0,0,0,0,"0"
7,4,0,0,1,0,0,0,0,0,0,0,0,"0"
9,7,0,1,3,1,0,0,0,0,0,0,33.33,"0"
34,23,0,4,24,6,0,0,0,0,2,0,25,"1"
25,19,4,5,19,12,1,4,0,0.21,3,7,63.16,"1"
19,0,0,0,1,1,0,0,0,0,0,1,100,"0"
1,1,0,0,4,0,0,0,0,0,0,0,0,"0"
11,9,0,0,2,0,0,0,0,0,0,1,0,"0"
10,9,0,1,7,1,0,0,0,0,0,0,14.29,"0"
29,24,2,8,34,20,0,2,0,0.08,3,4,58.82,"1"
15,6,1,0,3,2,1,1,0,0.12,0,3,66.67,"0"
8,2,1,0,4,3,0,0,1,0.31,0,2,75,"0"
25,23,0,1,3,0,0,0,0,0,1,0,0,"1"
7,4,0,0,1,1,0,0,0,0,0,1,100,"0"
15,13,0,7,9,4,0,0,0,0,1,0,44.44,"1"
30,30,2,8,61,19,1,0,2,0.07,2,4,31.15,"1"
29,29,2,2,8,2,1,2,0,0.07,0,3,25,"1"
3,1,0,0,1,0,0,0,0,0,0,0,0,"0"
4,0,1,0,3,3,0,1,0,1.15,0,0,100,"0"
7,7,0,2,5,3,0,0,0,0,1,0,60,"0"
22,19,4,2,37,10,1,3,1,0.22,0,1,27.03,"1"
5,2,0,0,2,0,0,0,0,0,0,0,0,"0"
3,3,0,1,3,1,0,0,0,0,0,0,33.33,"0"
2,2,0,1,5,2,0,0,0,0,0,1,40,"0"
5,5,0,1,9,3,0,0,0,0,0,0,33.33,"0"
3,1,0,0,2,1,0,0,0,0,0,0,50,"0"
2,2,0,0,1,0,0,0,0,0,0,0,0,"0"
18,4,0,2,4,1,0,0,0,0,0,1,25,"0"
4,4,1,0,6,3,1,1,0,0.21,0,0,50,"0"
28,27,2,1,10,3,0,2,0,0.07,0,5,30,"1"
29,29,4,4,42,18,1,1,3,0.15,3,5,42.86,"1"
2,1,0,0,1,1,0,0,0,0,0,1,100,"0"
10,9,0,1,2,0,0,0,0,0,0,0,0,"0"
5,5,2,1,16,9,1,1,1,0.38,0,2,56.25,"0"
18,8,2,1,9,4,1,0,2,0.25,0,4,44.44,"0"
19,18,0,1,2,0,0,0,0,0,0,0,0,"1"
17,17,2,0,7,4,0,2,0,0.13,0,0,57.14,"1"
9,1,0,0,5,1,0,0,0,0,0,2,20,"0"
25,23,2,3,22,6,0,2,0,0.09,0,2,27.27,"1"
22,22,4,10,37,11,1,3,1,0.18,1,0,29.73,"1"
28,22,0,0,12,2,0,0,0,0,0,0,16.67,"1"
3,3,0,0,1,0,0,0,0,0,0,0,0,"0"
5,4,0,1,1,1,0,0,0,0,0,0,100,"0"
5,5,1,3,3,2,0,1,0,0.2,1,1,66.67,"0"
17,16,0,0,6,1,0,0,0,0,0,0,16.67,"1"
3,3,0,0,2,1,0,0,0,0,0,0,50,"0"
21,15,0,1,14,2,0,0,0,0,0,2,14.29,"1"
2,2,1,0,5,1,0,1,0,0.5,0,1,20,"0"
15,6,0,0,4,2,0,0,0,0,0,0,50,"0"
29,28,2,1,18,9,0,0,2,0.07,1,3,50,"1"
2,2,0,0,1,0,0,0,0,0,0,0,0,"0"
27,17,6,2,55,21,1,1,5,0.33,0,25,38.18,"1"
29,29,0,6,10,2,0,0,0,0,3,2,20,"1"
31,31,2,5,9,3,1,0,2,0.07,1,1,33.33,"1"
2,2,0,0,1,0,0,0,0,0,0,0,0,"0"
3,3,1,0,6,4,0,1,0,0.33,0,1,66.67,"0"
3,1,0,0,2,1,0,0,0,0,0,0,50,"0"
7,7,4,5,27,13,1,4,0,0.6,1,2,48.15,"0"
7,6,0,1,1,0,0,0,0,0,0,0,0,"0"
29,29,8,6,51,29,2,4,4,0.3,3,7,56.86,"1"
2,2,0,0,1,1,0,0,0,0,0,0,100,"0"
2,2,1,0,6,3,0,0,1,0.53,0,1,50,"0"
7,7,0,0,2,2,0,0,0,0,0,0,100,"0"
30,30,3,6,36,21,1,3,0,0.1,2,19,58.33,"1"
24,20,0,1,27,5,0,0,0,0,0,1,18.52,"1"
6,1,0,0,2,1,0,0,0,0,0,3,50,"0"
22,22,0,2,2,0,0,0,0,0,2,0,0,"1"
29,19,0,3,8,1,0,0,0,0,1,0,12.5,"1"
28,21,3,2,30,9,0,3,0,0.14,1,2,30,"1"
11,10,1,0,5,3,0,0,1,0.1,0,1,60,"0"
23,23,0,0,5,1,0,0,0,0,0,2,20,"1"
5,5,0,0,1,0,0,0,0,0,0,0,0,"0"
24,23,3,6,25,5,2,2,1,0.14,2,1,20,"1"
9,8,1,2,11,7,1,0,1,0.12,0,5,63.64,"0"
22,22,0,0,5,1,0,0,0,0,0,1,20,"1"
21,4,0,0,7,2,0,0,0,0,0,0,28.57,"0"
17,7,2,2,27,15,0,1,1,0.26,0,4,55.56,"0"
32,32,0,4,5,1,0,0,0,0,2,1,20,"1"
25,21,10,10,36,19,1,7,3,0.48,3,7,52.78,"1"
30,30,3,11,74,23,1,1,2,0.1,5,0,31.08,"1"
6,3,1,3,7,3,1,1,0,0.27,0,0,42.86,"0"
1,0,0,0,1,0,0,0,0,0,0,0,0,"0"
24,22,7,2,78,34,1,4,3,0.32,1,35,43.59,"1"
4,0,0,0,1,0,0,0,0,0,0,0,0,"0"
31,30,11,15,49,23,2,7,4,0.39,3,4,46.94,"1"
16,14,1,2,7,3,0,0,1,0.09,1,0,42.86,"0"
9,5,0,0,5,2,0,0,0,0,0,0,40,"0"
26,26,0,0,5,3,0,0,0,0,0,1,60,"1"
9,9,0,1,7,1,0,0,0,0,0,0,14.29,"0"
31,28,2,2,34,10,0,0,2,0.08,1,1,29.41,"1"
2,2,0,0,8,2,0,0,0,0,0,0,25,"0"
3,3,3,0,8,4,1,2,1,1.05,0,2,50,"0"
27,19,6,10,48,25,1,4,2,0.3,0,36,52.08,"1"
5,5,1,1,4,2,1,0,1,0.2,0,0,50,"0"
18,18,0,2,3,1,0,0,0,0,0,0,33.33,"1"
10,10,0,0,6,2,0,0,0,0,0,2,33.33,"0"
25,22,5,3,43,20,3,3,2,0.25,1,18,46.51,"1"
6,2,0,0,3,0,0,0,0,0,0,0,0,"0"
28,18,3,2,18,7,1,1,2,0.15,0,3,38.89,"1"
22,14,1,2,9,3,0,0,1,0.07,0,0,33.33,"1"
27,18,8,2,43,20,1,3,5,0.42,0,39,46.51,"1"
16,1,0,1,4,0,0,0,0,0,1,0,0,"0"
29,23,12,7,50,21,2,8,4,0.53,2,12,42,"1"
20,16,1,2,17,4,0,1,0,0.06,0,6,23.53,"1"
17,15,1,1,6,2,0,0,1,0.07,1,0,33.33,"1"
20,15,5,1,31,14,2,4,1,0.36,1,21,45.16,"1"
5,5,0,0,2,0,0,0,0,0,0,0,0,"0"
17,11,3,1,14,8,0,0,3,0.28,1,9,57.14,"0"
21,19,1,0,7,6,0,0,1,0.06,0,1,85.71,"1"
2,1,0,0,1,0,0,0,0,0,0,1,0,"0"
16,15,0,2,2,0,0,0,0,0,0,2,0,"1"
11,8,2,2,19,9,0,0,2,0.24,1,8,47.37,"0"
4,4,0,0,3,0,0,0,0,0,0,1,0,"0"
10,2,0,0,2,0,0,0,0,0,0,0,0,"0"
5,5,0,2,7,3,0,0,0,0,0,5,42.86,"0"
34,34,12,13,53,28,3,9,3,0.39,4,26,52.83,"1"
26,25,4,7,38,19,2,2,2,0.17,3,12,50,"1"
29,28,10,5,76,31,3,4,6,0.37,0,5,40.79,"1"
25,25,1,1,6,3,0,1,0,0.04,0,0,50,"1"
21,19,0,0,3,1,0,0,0,0,0,0,33.33,"1"
5,1,0,0,4,1,0,0,0,0,0,1,25,"0"
5,5,6,0,13,10,2,3,3,1.33,0,9,76.92,"0"
1,1,0,0,3,2,0,0,0,0,0,0,66.67,"0"
34,34,0,5,8,3,0,0,0,0,2,0,37.5,"1"
24,24,1,1,11,2,0,0,1,0.04,0,2,18.18,"1"
28,19,0,0,19,3,0,0,0,0,0,2,15.79,"1"
1,0,0,0,1,1,0,0,0,0,0,0,100,"0"
14,14,0,1,2,1,0,0,0,0,0,1,50,"1"
29,29,3,2,12,4,0,3,0,0.11,2,1,33.33,"1"
5,3,1,0,10,4,0,1,0,0.38,0,6,40,"0"
26,26,2,3,16,9,1,1,1,0.08,0,1,56.25,"1"
1,0,0,0,1,1,0,0,0,0,0,0,100,"0"
17,15,0,1,5,2,0,0,0,0,0,0,40,"1"
22,10,3,1,25,9,0,3,0,0.27,0,0,36,"0"
23,15,2,2,16,5,0,1,1,0.13,0,8,31.25,"1"
2,2,0,1,5,4,0,0,0,0,0,7,80,"0"
28,26,0,1,8,2,0,0,0,0,0,1,25,"1"
26,25,15,4,81,37,4,8,7,0.6,2,16,45.68,"1"
2,1,1,0,3,1,0,1,0,0.79,0,0,33.33,"0"
28,10,3,5,46,23,3,2,1,0.26,1,8,50,"0"
2,2,0,1,2,1,0,0,0,0,0,0,50,"0"
30,30,2,0,11,5,1,0,2,0.07,0,1,45.45,"1"
8,6,0,2,10,3,0,0,0,0,1,2,30,"0"
27,11,1,0,16,7,0,1,0,0.07,0,2,43.75,"1"
26,21,3,6,35,17,0,0,3,0.14,2,11,48.57,"1"
9,2,0,1,7,2,0,0,0,0,0,0,28.57,"0"
13,12,0,0,2,0,0,0,0,0,0,0,0,"0"
11,7,0,2,3,1,0,0,0,0,0,0,33.33,"0"
20,18,9,1,37,25,5,6,3,0.56,0,35,67.57,"1"
22,14,1,3,15,4,1,0,1,0.07,0,0,26.67,"1"
9,5,0,2,14,4,0,0,0,0,0,5,28.57,"0"
1,1,0,0,2,2,0,0,0,0,0,0,100,"0"
20,18,2,3,21,10,1,2,0,0.12,1,3,47.62,"1"
9,9,1,0,7,3,0,1,0,0.12,0,0,42.86,"0"
27,25,2,7,31,14,1,1,1,0.09,4,1,45.16,"1"
32,32,3,4,52,23,0,0,3,0.1,0,8,44.23,"1"
15,12,0,2,3,1,0,0,0,0,0,0,33.33,"0"
3,2,0,1,1,1,0,0,0,0,1,0,100,"0"
32,21,4,4,53,23,0,1,3,0.19,1,18,43.4,"1"
32,32,0,0,1,0,0,0,0,0,0,0,0,"1"
26,25,2,1,32,8,0,2,0,0.08,1,3,25,"1"
20,12,2,5,30,17,1,1,1,0.18,0,10,56.67,"0"
2,2,0,0,2,1,0,0,0,0,0,6,50,"0"
3,2,0,0,4,2,0,0,0,0,0,0,50,"0"
5,5,0,0,1,0,0,0,0,0,0,0,0,"0"
26,26,1,3,48,22,0,1,0,0.04,1,2,45.83,"1"
1,0,0,0,1,0,0,0,0,0,0,0,0,"0"
24,17,3,2,59,22,0,2,1,0.17,0,25,37.29,"1"
29,28,0,7,19,7,0,0,0,0,3,1,36.84,"1"
19,14,1,1,3,2,0,0,1,0.08,1,0,66.67,"1"
15,15,0,0,2,1,0,0,0,0,0,0,50,"1"
26,26,1,4,25,9,0,0,1,0.04,2,1,36,"1"
5,0,0,0,3,1,0,0,0,0,0,0,33.33,"0"
27,18,4,8,56,29,1,1,3,0.22,4,34,51.79,"1"
5,5,1,2,15,5,1,0,1,0.19,1,0,33.33,"0"
22,20,2,1,20,6,1,2,0,0.1,0,1,30,"1"
10,9,0,0,9,1,0,0,0,0,0,0,11.11,"0"
9,1,2,0,5,5,0,1,1,0.9,0,7,100,"0"
3,3,0,0,3,1,0,0,0,0,0,0,33.33,"0"
29,24,2,2,34,11,0,2,0,0.09,1,4,32.35,"1"
32,13,3,7,32,14,1,1,2,0.21,0,4,43.75,"1"
11,10,0,2,1,0,0,0,0,0,1,0,0,"0"
2,2,0,0,1,0,0,0,0,0,0,0,0,"0"
17,17,3,8,34,13,1,0,3,0.18,3,1,38.24,"1"
25,17,0,3,17,7,0,0,0,0,0,2,41.18,"1"
30,30,0,0,1,0,0,0,0,0,0,0,0,"1"
2,2,0,0,7,3,0,0,0,0,0,1,42.86,"0"
27,21,7,4,42,24,1,6,1,0.36,1,32,57.14,"1"
20,9,1,2,14,5,0,1,0,0.09,0,2,35.71,"0"
3,3,0,0,3,1,0,0,0,0,0,0,33.33,"0"
15,7,3,1,24,11,0,1,2,0.36,1,9,45.83,"0"
3,3,0,1,1,0,0,0,0,0,1,0,0,"0"
22,20,0,1,4,1,0,0,0,0,0,0,25,"1"
31,31,0,3,12,4,0,0,0,0,1,1,33.33,"1"
32,29,6,3,52,20,0,3,3,0.22,0,2,38.46,"1"
21,18,0,7,29,7,0,0,0,0,3,2,24.14,"1"
9,5,2,0,18,5,0,2,0,0.36,0,1,27.78,"0"
16,9,0,0,1,0,0,0,0,0,0,0,0,"0"
31,31,0,1,11,2,0,0,0,0,0,0,18.18,"1"
5,3,0,0,3,2,0,0,0,0,0,4,66.67,"0"
29,28,16,14,94,47,6,7,9,0.57,3,19,50,"1"
6,6,0,1,1,0,0,0,0,0,0,0,0,"0"
2,1,0,0,3,0,0,0,0,0,0,0,0,"0"
4,0,0,0,1,0,0,0,0,0,0,0,0,"0"
30,30,3,6,27,13,0,1,2,0.1,1,3,48.15,"1"
27,27,0,1,2,1,0,0,0,0,1,0,50,"1"
10,5,1,1,6,3,0,1,0,0.21,0,1,50,"0"
15,4,0,1,16,4,0,0,0,0,0,9,25,"0"
5,5,4,0,16,10,0,3,1,0.99,0,3,62.5,"0"
15,5,1,1,13,4,0,1,0,0.16,0,4,30.77,"0"
18,12,1,4,10,4,1,1,0,0.1,1,0,40,"0"
25,25,4,13,40,21,0,1,3,0.16,3,2,52.5,"1"
2,2,1,1,1,1,0,0,1,0.61,0,2,100,"0"
10,3,0,2,4,1,0,0,0,0,0,0,25,"0"
10,1,1,0,4,2,0,1,0,0.34,0,0,50,"0"
17,14,1,4,10,3,0,0,1,0.07,1,0,30,"1"
26,14,4,7,45,22,1,2,2,0.26,1,19,48.89,"1"
20,19,0,3,5,0,0,0,0,0,0,1,0,"1"
34,22,5,5,53,25,1,3,2,0.21,2,5,47.17,"1"
13,13,6,6,40,18,2,4,2,0.51,2,9,45,"0"
23,19,0,1,20,9,0,0,0,0,0,0,45,"1"
8,3,0,0,3,2,0,0,0,0,0,3,66.67,"0"
30,28,0,1,12,4,0,0,0,0,0,1,33.33,"1"
14,11,1,3,7,1,0,1,0,0.1,1,0,14.29,"0"
15,5,2,1,12,3,0,1,1,0.32,1,1,25,"0"
12,11,1,1,4,1,0,0,1,0.09,0,3,25,"0"
4,4,0,1,2,1,0,0,0,0,0,1,50,"0"
12,3,1,1,5,3,0,1,0,0.27,0,0,60,"0"
3,3,3,1,10,7,0,1,2,1.02,1,0,70,"0"
1,0,0,0,1,0,0,0,0,0,0,0,0,"0"
1,1,0,0,3,1,0,0,0,0,0,0,33.33,"0"
14,14,4,2,40,20,1,3,1,0.33,1,4,50,"1"
27,26,6,3,70,33,3,4,2,0.23,1,9,47.14,"1"
25,24,1,6,42,9,1,1,0,0.04,0,0,21.43,"1"
20,5,0,2,29,8,0,0,0,0,0,2,27.59,"0"
31,31,2,5,9,5,0,2,0,0.07,3,1,55.56,"1"
20,17,5,1,29,14,1,4,1,0.31,1,9,48.28,"1"
14,13,1,0,6,2,0,1,0,0.08,0,0,33.33,"1"
5,1,0,0,1,0,0,0,0,0,0,0,0,"0"
30,27,2,6,43,17,1,2,0,0.08,2,8,39.53,"1"
26,24,1,5,36,16,1,1,0,0.04,1,2,44.44,"1"
8,5,0,0,4,1,0,0,0,0,0,0,25,"0"
15,8,2,2,13,7,0,0,2,0.27,1,5,53.85,"0"
23,21,0,0,7,2,0,0,0,0,0,0,28.57,"1"
10,8,0,1,8,0,0,0,0,0,0,0,0,"0"
10,9,0,0,1,0,0,0,0,0,0,0,0,"0"
21,20,0,0,2,1,0,0,0,0,0,2,50,"1"
20,15,4,3,20,11,0,1,3,0.33,2,11,55,"1"
15,6,0,0,18,5,0,0,0,0,0,8,27.78,"0"
29,26,3,3,27,8,0,3,0,0.11,0,2,29.63,"1"
19,16,5,2,29,14,1,1,4,0.32,2,11,48.28,"1"
6,6,1,2,6,4,0,1,0,0.17,0,2,66.67,"0"
10,7,1,0,15,8,0,0,1,0.16,0,2,53.33,"0"
1,1,0,0,1,0,0,0,0,0,0,0,0,"0"
31,31,34,15,160,71,6,18,16,1.12,5,25,44.38,"1"
3,3,0,0,7,2,0,0,0,0,0,0,28.57,"0"
8,5,1,0,6,3,0,0,1,0.2,0,1,50,"0"
4,2,0,0,1,1,0,0,0,0,0,0,100,"0"
28,28,4,1,34,14,1,1,3,0.16,0,7,41.18,"1"
20,14,1,1,13,4,0,0,1,0.07,1,2,30.77,"1"
26,16,6,2,40,16,0,4,2,0.36,2,17,40,"1"
20,20,0,5,16,1,0,0,0,0,0,2,6.25,"1"
24,10,6,2,19,12,2,5,1,0.49,1,8,63.16,"1"
3,1,0,0,1,0,0,0,0,0,0,0,0,"0"
26,26,14,4,77,36,0,7,7,0.54,1,18,46.75,"1"
4,4,1,0,8,3,0,1,0,0.25,0,1,37.5,"0"
6,2,0,0,2,1,0,0,0,0,0,0,50,"0"
28,28,0,1,13,0,0,0,0,0,1,0,0,"1"
17,17,1,0,5,1,0,1,0,0.06,0,5,20,"1"
4,4,3,0,17,10,1,2,1,0.64,0,2,58.82,"0"
23,22,2,3,28,7,1,2,0,0.09,1,0,25,"1"
20,17,0,1,4,1,0,0,0,0,0,0,25,"1"
19,18,1,0,1,1,0,0,1,0.06,0,0,100,"1"
29,7,5,0,34,11,3,3,2,0.46,0,10,32.35,"0"
22,18,15,4,56,26,4,6,9,0.86,3,12,46.43,"1"
14,6,0,0,9,3,0,0,0,0,0,0,33.33,"0"
1,1,1,0,3,2,0,1,0,1,0,1,66.67,"0"
2,0,0,0,1,0,0,0,0,0,0,0,0,"0"
26,19,1,5,42,21,0,0,1,0.05,1,1,50,"1"
16,6,0,0,10,6,0,0,0,0,0,7,60,"0"
18,14,5,3,64,22,3,2,3,0.34,0,23,34.38,"1"
4,1,0,0,1,1,0,0,0,0,0,1,100,"0"
6,5,0,0,6,0,0,0,0,0,0,0,0,"0"
8,8,0,0,2,0,0,0,0,0,0,0,0,"0"
5,5,1,0,11,3,0,1,0,0.19,0,4,27.27,"0"
8,7,1,0,5,3,1,1,0,0.17,0,0,60,"0"
20,19,0,1,7,0,0,0,0,0,0,0,0,"1"
22,12,5,4,17,9,1,1,4,0.4,1,9,52.94,"1"
16,9,0,1,6,2,0,0,0,0,0,4,33.33,"0"
9,9,0,1,6,1,0,0,0,0,0,0,16.67,"0"
23,19,1,1,11,4,1,1,0,0.05,0,1,36.36,"1"
8,8,0,0,7,1,0,0,0,0,0,0,14.29,"0"
4,4,4,2,15,5,1,2,2,0.92,0,1,33.33,"0"
20,12,0,1,3,2,0,0,0,0,0,0,66.67,"0"
4,4,1,0,2,2,0,0,1,0.33,0,0,100,"0"
26,26,1,3,6,1,0,0,1,0.04,0,0,16.67,"1"
4,2,0,0,1,1,0,0,0,0,0,0,100,"0"
15,14,1,1,2,1,0,1,0,0.08,0,0,50,"1"
26,22,5,1,36,13,0,3,2,0.23,0,6,36.11,"1"
27,17,0,3,9,6,0,0,0,0,0,1,66.67,"1"
1,1,0,0,1,0,0,0,0,0,0,1,0,"0"
29,27,11,4,61,33,0,7,4,0.47,2,24,54.1,"1"
17,12,2,1,26,9,1,2,0,0.17,1,0,34.62,"0"
7,5,0,0,1,0,0,0,0,0,0,0,0,"0"
5,5,0,1,6,1,0,0,0,0,0,1,16.67,"0"
11,11,0,1,3,0,0,0,0,0,0,0,0,"0"
6,5,0,0,3,0,0,0,0,0,0,0,0,"0"
21,21,0,0,2,1,0,0,0,0,0,0,50,"1"
23,19,2,5,32,10,0,1,1,0.11,0,1,31.25,"1"
2,2,0,0,2,1,0,0,0,0,0,1,50,"0"
7,4,0,0,6,4,0,0,0,0,0,0,66.67,"0"
31,31,1,0,9,1,1,0,1,0.03,0,1,11.11,"1"
26,24,0,5,11,2,0,0,0,0,1,0,18.18,"1"
3,3,1,0,1,1,0,1,0,0.33,0,0,100,"0"
28,27,0,7,10,5,0,0,0,0,2,1,50,"1"
19,18,0,0,3,1,0,0,0,0,0,0,33.33,"1"
30,29,5,4,60,29,2,3,2,0.18,1,10,48.33,"1"
3,3,0,0,1,0,0,0,0,0,0,0,0,"0"
2,0,1,0,2,2,0,0,1,1.88,0,0,100,"0"
14,9,0,0,2,0,0,0,0,0,0,1,0,"0"
7,2,0,0,7,1,0,0,0,0,0,2,14.29,"0"
27,26,6,8,31,14,1,4,2,0.24,4,10,45.16,"1"
24,18,9,4,53,24,2,4,5,0.54,0,23,45.28,"1"
33,33,5,5,50,16,1,4,1,0.16,2,3,32,"1"
23,21,9,2,64,32,3,9,0,0.43,0,28,50,"1"
2,2,0,0,3,2,0,0,0,0,0,1,66.67,"0"
10,3,0,0,8,3,0,0,0,0,0,0,37.5,"0"
15,6,2,0,21,11,0,1,1,0.3,0,8,52.38,"0"
4,3,0,0,1,1,0,0,0,0,0,0,100,"0"
12,5,0,1,4,3,0,0,0,0,1,0,75,"0"
2,2,0,0,5,0,0,0,0,0,0,1,0,"0"
3,3,0,0,1,0,0,0,0,0,0,0,0,"0"
2,2,0,0,2,2,0,0,0,0,0,2,100,"0"
14,13,0,1,29,16,0,0,0,0,0,12,55.17,"1"
7,7,0,1,1,0,0,0,0,0,0,0,0,"0"
1,1,0,1,4,2,0,0,0,0,0,1,50,"0"
1,1,0,0,3,1,0,0,0,0,0,0,33.33,"0"
29,29,11,8,75,37,2,4,7,0.39,1,17,49.33,"1"
16,9,0,0,12,3,0,0,0,0,0,1,25,"0"
31,31,0,0,12,1,0,0,0,0,0,2,8.33,"1"
5,3,0,0,5,2,0,0,0,0,0,0,40,"0"
20,18,1,2,12,4,0,1,0,0.05,1,2,33.33,"1"
29,27,3,5,32,14,0,3,0,0.11,3,2,43.75,"1"
5,5,1,0,12,11,0,0,1,0.21,0,7,91.67,"0"
30,30,1,7,19,6,0,0,1,0.03,0,0,31.58,"1"
22,22,2,2,17,5,1,1,1,0.1,0,1,29.41,"1"
32,32,0,1,12,2,0,0,0,0,0,2,16.67,"1"
13,10,1,0,8,2,0,1,0,0.1,0,0,25,"0"
1,1,0,0,1,0,0,0,0,0,0,0,0,"0"
25,25,1,0,6,1,0,0,1,0.04,0,0,16.67,"1"
4,4,1,3,5,1,1,1,0,0.23,1,0,20,"0"
30,22,1,0,10,2,0,1,0,0.04,0,1,20,"1"
21,20,1,0,8,2,0,0,1,0.05,0,0,25,"1"
2,2,0,0,2,0,0,0,0,0,0,0,0,"0"
21,9,1,2,16,5,0,0,1,0.09,0,1,31.25,"0"
26,25,1,2,12,1,0,1,0,0.04,0,0,8.33,"1"
18,12,4,3,34,16,1,3,1,0.32,1,9,47.06,"1"
32,32,1,1,20,6,0,1,0,0.03,0,1,30,"1"
26,25,2,1,20,5,1,2,0,0.08,0,1,25,"1"
9,6,1,1,5,3,0,0,1,0.2,0,0,60,"0"
19,5,0,1,18,6,0,0,0,0,0,8,33.33,"0"
30,24,5,9,39,9,1,3,2,0.23,0,2,23.08,"1"
2,2,0,1,1,1,0,0,0,0,0,0,100,"0"
21,13,0,0,7,2,0,0,0,0,0,0,28.57,"1"
31,30,2,0,26,6,0,1,1,0.07,0,1,23.08,"1"
25,25,0,0,13,3,0,0,0,0,0,1,23.08,"1"
6,6,1,1,6,1,1,1,0,0.2,0,0,16.67,"0"
6,1,0,0,3,2,0,0,0,0,0,1,66.67,"0"
25,25,0,1,8,5,0,0,0,0,0,1,62.5,"1"
29,26,2,14,35,21,0,2,0,0.08,3,17,60,"1"
27,21,8,1,65,24,1,6,2,0.39,0,3,36.92,"1"
26,25,7,12,81,26,2,6,1,0.29,3,34,32.1,"1"
12,6,0,3,3,0,0,0,0,0,0,0,0,"0"
13,1,0,2,4,0,0,0,0,0,0,0,0,"0"
5,5,3,2,9,4,0,2,1,0.7,1,3,44.44,"0"
2,1,1,0,3,2,0,1,0,0.67,0,0,66.67,"0"
2,2,0,0,4,1,0,0,0,0,0,0,25,"0"
28,26,23,6,92,58,5,13,10,0.86,1,14,63.04,"1"
29,27,6,4,45,13,0,3,3,0.22,1,2,28.89,"1"
32,29,4,3,53,21,1,3,1,0.16,1,9,39.62,"1"
22,17,1,3,15,5,0,0,1,0.06,2,1,33.33,"1"
22,11,4,0,41,24,0,2,2,0.32,0,10,58.54,"1"
8,8,1,1,3,1,0,0,1,0.14,1,0,33.33,"0"
