"Games_Played","Games_Started","Goals","Assists","SHOTS","SHOTS_ON_TARGET","Game_Winning_Goals","HmG","RdG","G_90min","Games_Winning_Assists","OFF","Shots_on_Goals_Percent","Target"
4,4,0,0,1,1,0,0,0,0,0,0,100,"0"
12,12,0,0,2,2,0,0,0,0,0,1,100,"0"
16,16,1,0,6,2,0,1,0,0.07,0,0,33.33,"1"
15,12,3,0,17,11,0,1,2,0.24,0,0,64.71,"1"
25,25,0,2,8,3,0,0,0,0,2,0,37.5,"1"
12,6,0,0,5,1,0,0,0,0,0,4,20,"0"
23,22,3,1,34,14,1,1,2,0.15,1,14,41.18,"1"
30,30,3,0,24,11,1,1,2,0.11,0,7,45.83,"1"
16,16,1,2,9,7,0,0,1,0.06,0,3,77.78,"1"
10,9,0,0,3,2,0,0,0,0,0,0,66.67,"0"
8,2,0,1,3,0,0,0,0,0,0,0,0,"0"
12,4,1,1,11,2,0,1,0,0.15,0,1,18.18,"0"
1,1,0,0,5,2,0,0,0,0,0,1,40,"0"
18,11,2,5,35,14,1,2,0,0.16,2,8,40,"1"
32,29,3,5,36,8,0,1,2,0.1,2,3,22.22,"1"
6,5,0,0,2,0,0,0,0,0,0,0,0,"0"
18,17,0,1,4,3,0,0,0,0,0,1,75,"1"
25,16,1,5,17,7,1,0,1,0.06,2,2,41.18,"1"
25,19,1,7,27,12,0,0,1,0.05,1,5,44.44,"1"
22,19,8,3,58,20,2,4,4,0.41,2,5,34.48,"1"
25,24,0,1,9,3,0,0,0,0,1,0,33.33,"1"
9,0,0,0,5,4,0,0,0,0,0,2,80,"0"
16,14,0,0,2,2,0,0,0,0,0,0,100,"1"
4,4,0,0,1,0,0,0,0,0,0,0,0,"0"
34,34,3,5,56,13,1,2,1,0.09,1,4,23.21,"1"
31,30,1,5,23,4,1,1,0,0.03,2,5,17.39,"1"
15,15,0,0,1,0,0,0,0,0,0,0,0,"1"
11,7,0,0,8,5,0,0,0,0,0,0,62.5,"0"
2,2,0,0,3,0,0,0,0,0,0,0,0,"0"
6,6,4,1,16,7,1,3,1,0.8,0,0,43.75,"0"
18,9,1,0,14,6,1,0,1,0.09,0,6,42.86,"0"
27,26,1,1,12,5,0,0,1,0.04,0,2,41.67,"1"
4,4,0,4,10,2,0,0,0,0,0,0,20,"0"
17,7,1,0,11,7,0,0,1,0.11,0,2,63.64,"0"
10,9,1,0,9,2,1,1,0,0.11,0,0,22.22,"0"
28,28,0,4,2,0,0,0,0,0,2,0,0,"1"
22,11,3,3,33,8,0,0,3,0.26,1,4,24.24,"0"
2,2,2,1,6,3,1,1,1,1.27,0,1,50,"0"
28,27,7,4,48,24,0,1,6,0.27,2,15,50,"1"
28,26,5,11,43,26,3,3,2,0.2,2,9,60.47,"1"
